time,GX,GY,GZ
1564028580000,-1.4876923076923076,-0.020769230769230762,-1.2207692307692308
1564028640000,-1.3666666666666667,-0.04454545454545455,-1.32
1564028700000,-1.455,0.07500000000000001,-1.2850000000000001
1564028760000,-1.365,0.19,-1.055
1564028820000,-1.215,0.035,-1.1
1564028880000,-1.28,0.18,-1.26
1564028940000,-1.34,-0.02,-1.29
1564029000000,-1.39,-0.08333333333333334,-1.1633333333333333
1564029060000,-1.35,-0.045,-1.2349999999999999
1564029120000,-1.39,0.2,-1.1
1564029180000,-1.27,0.03,-1.21
1564029240000,-1.2733333333333334,-0.03333333333333333,-1.1166666666666667
1564029300000,-1.32,0.053333333333333344,-1.4533333333333334
1564029360000,-1.32,0.22,-1.04
1564029420000,-1.255,0.11499999999999999,-1.155
1564029480000,-1.31,0.02,-1.31
1564029540000,-1.13,0.11,-1.2233333333333334
1564029600000,-1.34,0.18,-1.14
1564029660000,-1.18,0.04,-1.13
1564029720000,-1.5,-0.05,-1.43
1564029780000,-1.22,0.003333333333333334,-1.1833333333333333
1564029840000,-1.3733333333333333,0.05333333333333333,-1.105
1564029900000,-1.2231636363636365,0.0034545454545454463,-1.2425641025641025
1564029960000,-1.2515272727272728,0.06890909090909089,-1.1722344322344322
1564030020000,-1.2798909090909092,0.13436363636363635,-1.101904761904762
1564030080000,-1.3082545454545456,0.19981818181818178,-1.0315750915750916
1564030140000,-1.3166666666666667,0.05,-1.1800000000000002
1564030200000,-1.26,0.1,-1.36
1564030260000,-1.15,-0.03,-1.18
1564030320000,-1.43,-0.05,-1.23
1564030380000,-1.2733333333333332,-0.09666666666666668,-1.1466666666666667
1564030440000,-1.37,0.01,-1.27
1564030500000,-1.37,0.31,-1.12
1564030560000,-1.04,0.05,-0.98
1564030620000,-1.5625,0.11750000000000002,-1.145
1564030680000,-1.44,0.12657142857142858,-1.2691428571428571
1564030740000,-1.4233333333333333,0.07999999999999999,-1.1433333333333333
1564030800000,-1.4833333333333334,-0.03,-1.035
1564030860000,-1.31875,-0.0228,-1.3748
1564030920000,-1.455,0.08499999999999999,-1.315
1564030980000,-1.44,0.125,-1.0950000000000002
1564031040000,-1.2,0.055,-1.275
1564031100000,-1.2033333333333334,0.13000000000000003,-1.2966666666666666
1564031160000,-1.5433333333333332,0.10666666666666669,-1.1833333333333333
1564031220000,-1.2766666666666666,-0.07666666666666667,-1.32
1564031280000,-1.31,-0.07,-1.04
1564031340000,-1.32,0.06,-1.27
1564031400000,-1.275,0.03,-1.21
1564031460000,-1.3450000000000002,0.10250000000000001,-1.1549999999999998
